                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.3619,                 1.4691,                 1.1405,                0.68108,                0.50115,                0.51205,                0.31134,                  1.258,                  1.345,                 1.1503,               0.001177,               0.001177,               0.001177
                     62,                 1.3774,                 1.4952,                 1.1348,                0.62561,                0.55225,                0.52006,                 0.3184,                 1.2934,                 1.4178,                 1.1622,              0.0011757,              0.0011757,              0.0011757
                     63,                 1.3635,                 1.5467,                 1.2224,                0.64748,                0.55864,                0.53818,                0.34649,                 1.2126,                 1.4983,                  1.154,              0.0011745,              0.0011745,              0.0011745
                     64,                 1.3951,                 1.5382,                 1.1595,                0.70045,                0.53308,                0.53739,                0.31916,                  1.306,                 1.4242,                  1.182,              0.0011733,              0.0011733,              0.0011733
                     65,                 1.3616,                 1.5136,                  1.126,                0.75266,                0.49929,                0.53703,                0.32376,                 1.2363,                 1.3879,                  1.168,               0.001172,               0.001172,               0.001172
                     66,                 1.3326,                 1.4973,                 1.1617,                0.62541,                0.55595,                0.50315,                 0.3392,                 1.1428,                 1.4501,                 1.1385,              0.0011708,              0.0011708,              0.0011708
                     67,                 1.3687,                 1.4948,                 1.1596,                 0.6038,                0.54861,                0.47477,                0.31889,                 1.2391,                 1.5207,                  1.155,              0.0011696,              0.0011696,              0.0011696
                     68,                  1.403,                  1.548,                 1.2224,                0.68159,                 0.5083,                0.49888,                0.32208,                 1.3475,                 1.4239,                 1.1885,              0.0011683,              0.0011683,              0.0011683
                     69,                  1.399,                 1.5331,                 1.1654,                0.72342,                0.54754,                0.53566,                0.34633,                 1.2603,                 1.3733,                 1.1476,              0.0011671,              0.0011671,              0.0011671
                     70,                  1.365,                 1.4144,                 1.1338,                0.69763,                0.57157,                0.53088,                 0.3244,                 1.2937,                 1.3671,                 1.1487,              0.0011658,              0.0011658,              0.0011658
                     71,                   1.35,                 1.4151,                 1.1203,                0.69757,                 0.5622,                0.53991,                0.32322,                 1.3029,                 1.3781,                 1.1484,              0.0011646,              0.0011646,              0.0011646
                     72,                 1.3891,                 1.4485,                 1.1509,                0.72888,                0.56887,                0.55449,                0.37505,                 1.2036,                 1.4075,                 1.1228,              0.0011634,              0.0011634,              0.0011634
                     73,                 1.3329,                 1.4641,                 1.1892,                0.72491,                  0.549,                0.56501,                0.37983,                 1.2032,                   1.34,                 1.1226,              0.0011621,              0.0011621,              0.0011621
                     74,                 1.3415,                 1.4151,                 1.1602,                  0.723,                0.54072,                0.56509,                0.37249,                 1.2666,                 1.3019,                 1.1432,              0.0011609,              0.0011609,              0.0011609
                     75,                 1.3031,                 1.4491,                 1.1251,                0.70928,                0.53126,                0.56777,                0.38806,                 1.2066,                 1.2835,                 1.1321,              0.0011597,              0.0011597,              0.0011597
                     76,                 1.2862,                 1.3481,                 1.1229,                0.63458,                0.57464,                0.53229,                0.35913,                 1.1515,                 1.2645,                 1.1048,              0.0011584,              0.0011584,              0.0011584
                     77,                 1.3332,                  1.427,                 1.1283,                0.62112,                0.59045,                0.50118,                0.32013,                 1.2009,                 1.3098,                 1.1122,              0.0011572,              0.0011572,              0.0011572
                     78,                 1.3225,                 1.3812,                 1.1517,                0.64565,                0.54418,                0.50754,                0.32032,                 1.1893,                 1.3145,                 1.1129,              0.0011559,              0.0011559,              0.0011559
                     79,                 1.2456,                 1.3596,                 1.1143,                0.68801,                0.52837,                0.55734,                0.36604,                 1.1176,                  1.222,                 1.1028,              0.0011547,              0.0011547,              0.0011547
